Title,Year,Target Age >,IMDb,Netflix,Hulu,Prime Video,Disney+
Hip Hop Evolution,2016,16.0,8.4,1,0,0,0
Undercover,2019,18.0,7.9,1,0,0,0
Slugterra,2012,7.0,6.3,1,0,0,0
The Final Table,2018,0.0,7.7,1,0,0,0
Velvet,2014,16.0,8.1,1,0,0,0
Criminal: UK,2019,18.0,7.4,1,0,0,0
Suburra: Blood on Rome,2017,16.0,8.0,1,0,0,0
The Rise of Phoenixes,2018,7.0,8.6,1,0,0,0
The Family,2019,16.0,6.4,1,0,0,0
Huntik: Secrets & Seekers,2009,7.0,8.3,1,0,0,0
Cells at Work!,2018,16.0,7.6,1,0,0,0
Flaked,2016,18.0,7.2,1,0,0,0
The Irregular at Magic High School,2014,16.0,7.2,1,0,0,0
The Disastrous Life of Saiki K.,2016,16.0,8.3,1,0,0,0
Wanted,2016,16.0,7.7,1,0,0,0
Dad's Army,1968,7.0,8.1,1,0,0,0
Bad Education,2012,16.0,7.4,1,0,0,0
Angel Beats!,2010,16.0,7.7,1,0,0,0
Dogs,2018,0.0,8.1,1,0,0,0
Fate/stay night,2006,18.0,7.4,1,1,0,0
Brain Games,2011,7.0,8.3,1,0,0,1
Knights of Sidonia,2014,18.0,7.8,1,0,0,0
Girlboss,2017,18.0,7.0,1,0,0,0
Call My Agent,2015,7.0,8.3,1,0,0,0
"What's New, Scooby-Doo?",2002,7.0,7.2,1,0,0,0
Teasing Master Takagi-san,2018,7.0,7.5,1,0,0,0
Blue Exorcist,2011,16.0,7.5,1,1,0,0
WHAT / IF,2019,18.0,6.3,1,0,0,0
The Assets,2014,16.0,7.5,1,0,0,0
Baki,2018,18.0,6.7,1,0,0,0
Nightflyers,2018,16.0,5.9,1,0,0,0
How to Fix a Drug Scandal,2020,18.0,6.9,1,0,0,0
Scissor Seven,2018,7.0,8.0,1,0,0,0
Memories of the Alhambra,2018,16.0,7.8,1,0,0,0
Republic of Doyle,2010,16.0,7.2,1,0,1,0
Sick Note,2017,18.0,6.8,1,0,0,0
The Last O.G.,2018,7.0,6.9,1,0,0,0
Night on Earth,2020,7.0,8.2,1,0,0,0
Börü,2018,18.0,8.2,1,0,0,0
Typewriter,2019,18.0,6.5,1,0,0,0
Inspector Gadget,1983,7.0,6.8,1,0,0,0
Sofia the First,2013,0.0,6.9,1,0,0,0
Hap and Leonard,2016,16.0,7.6,1,0,0,0
Jessie,2011,0.0,5.9,1,0,0,1
I Think You Should Leave with Tim Robinson,2019,18.0,7.4,1,0,0,0
K-ON!,2009,16.0,7.6,1,1,0,0
Thieves of the Wood,2020,18.0,6.7,1,0,0,0
Slasher,2016,18.0,6.7,1,0,0,0
Freud,2020,18.0,6.6,1,0,0,0
Between,2015,16.0,6.0,1,0,0,0
Rita,2012,16.0,8.1,1,0,0,0
She's Gotta Have It,2017,18.0,6.7,1,0,0,0
The Nineties,2017,7.0,8.2,1,0,0,0
Casanova,2005,16.0,7.9,1,0,0,0
The Good Cop,2018,16.0,7.0,1,0,0,0
Bondi Rescue,2006,7.0,7.6,1,0,0,0
Black Earth Rising,2018,16.0,7.4,1,0,0,0
Tidelands,2018,18.0,7.0,1,0,0,0
Nobel,2016,18.0,8.1,1,0,0,0
"Drugs, Inc.",2010,16.0,7.8,1,1,0,0
Midnight Diner: Tokyo Stories,2016,16.0,8.4,1,0,0,0
People Just Do Nothing,2014,18.0,8.5,1,0,0,0
"Love, Chunibyo & Other Delusions",2012,16.0,7.4,1,1,0,0
Tidying Up with Marie Kondo,2019,7.0,6.6,1,0,0,0
Home for Christmas,2019,18.0,7.6,1,0,0,0
Wild District,2018,18.0,8.4,1,0,0,0
Toast of London,2013,16.0,8.2,1,0,0,0
World War II In HD Colour,2009,7.0,8.7,1,0,0,0
Roman Empire,2016,16.0,6.9,1,0,0,0
Pandemic: How to Prevent an Outbreak,2020,16.0,6.3,1,0,0,0
The Windsors,2016,18.0,7.0,1,0,0,0
Charité at War,2017,7.0,7.7,1,0,0,0
The Bernie Mac Show,2001,7.0,6.9,1,0,0,0
Charmed,2018,16.0,4.5,1,0,0,0
Another Life,2019,18.0,4.9,1,0,0,0
Cooked With Cannabis,2020,18.0,6.9,1,0,0,0
The Victims' Game,2020,18.0,7.4,1,0,0,0
The Joel McHale Show with Joel McHale,2018,18.0,7.3,1,0,0,0
La familia P. Luche,2002,7.0,7.7,1,0,0,0
The Cleveland Show,2009,16.0,5.5,1,1,0,0
Monthly Girls' Nozaki-kun,2014,7.0,7.7,1,1,0,0
Eternal Love,2017,7.0,8.3,1,0,0,0
The Moaning of Life,2013,16.0,8.1,1,0,0,0
B: The Beginning,2018,18.0,7.2,1,0,0,0
The Mysteries of Laura,2014,16.0,6.8,1,0,0,0
Selection Day,2018,16.0,7.3,1,0,0,0
Wanderlust,2018,16.0,7.0,1,0,0,0
Erased,2017,16.0,7.9,1,0,0,0
Magic for Humans,2018,16.0,7.1,1,0,0,0
The Method,2015,18.0,7.4,1,0,0,0
Alexa & Katie,2018,0.0,7.3,1,0,0,0
Good Morning Call,2016,0.0,7.8,1,0,0,0
The Boss Baby: Back in Business,2018,7.0,6.4,1,0,0,0
Winx Club,2004,7.0,5.9,1,0,0,0
Sin Senos Sí Hay Paraíso,2016,16.0,6.7,1,0,0,0
Dogs of Berlin,2018,16.0,7.5,1,0,0,0
K-Project,2012,18.0,7.2,1,0,0,0
El Chapulín,1972,0.0,8.5,1,0,0,0
The Same Sky,2017,7.0,7.5,1,0,0,0
The Big Show Show,2020,0.0,6.4,1,0,0,0
Fast & Furious Spy Racers,2019,7.0,5.2,1,0,0,0
Deadwind,2018,18.0,7.2,1,0,0,0
HAPPYish,2015,18.0,7.3,1,0,0,0
Chambers,2019,18.0,6.5,1,0,0,0
White Lines,2020,18.0,6.2,1,0,0,0
The Velvet Collection,2017,16.0,7.2,1,0,0,0
Offspring,2010,16.0,8.2,1,1,0,0
Total Drama Island,2007,7.0,7.1,1,0,0,0
Rebellion,2016,16.0,7.1,1,0,0,0
High Seas,2019,16.0,6.8,1,0,0,0
Goosebumps,1995,0.0,7.7,1,0,0,0
Ashes of Love,2018,7.0,8.5,1,0,0,0
Chelsea Does,2016,18.0,7.2,1,0,0,0
Life Sentence,2018,16.0,6.5,1,0,0,0
Billy on the Street,2011,16.0,7.7,1,1,0,0
Cold Case Files,1999,18.0,8.0,1,1,0,0
Disjointed,2017,18.0,6.7,1,0,0,0
Perfume,2018,18.0,7.1,1,0,0,0
Kantaro: The Sweet Tooth Salaryman,2017,7.0,7.6,1,0,0,0
Terrace House: Boys & Girls in the City,2015,7.0,8.2,1,0,0,0
Aldnoah.Zero,2014,0.0,7.2,1,0,0,0
Greenleaf,2016,7.0,7.3,1,0,0,0
Dating Around,2019,16.0,6.4,1,0,0,0
(The Hook Up Plan),2018,16.0,7.4,1,0,0,0
Tales of the City,2019,16.0,7.4,1,0,0,0
Mako: Island of Secrets,2013,0.0,6.9,1,0,0,0
WWII in HD,2009,18.0,8.7,1,0,0,0
Sonic x,2003,16.0,6.1,1,1,1,0
Ultraman,2019,16.0,6.9,1,0,0,0
Girls und Panzer,2012,16.0,7.5,1,1,0,0
Silver Spoon,2014,16.0,7.8,1,0,0,0
Traitors,2019,18.0,6.6,1,0,0,0
The Movies That Made Us,2019,18.0,7.8,1,0,0,0
Alias J.J.,2017,18.0,7.9,1,0,0,0
Unauthorized Living,2018,18.0,7.5,1,0,0,0
Daniel Sloss: Live Shows,2018,18.0,8.6,1,0,0,0
The Lava Field,2014,7.0,6.8,1,0,0,0
One of Us,2016,18.0,7.0,1,0,0,0
Bella and the Bulldogs,2015,0.0,5.2,1,0,0,0
Wakfu,2008,7.0,8.2,1,0,0,0
Bloodride,2020,18.0,6.3,1,0,0,0
The Magic School Bus,1994,0.0,7.9,1,0,0,0
Next in Fashion,2020,16.0,7.4,1,0,0,0
My First First Love,2019,7.0,7.6,1,0,0,0
Sex Explained,2020,18.0,6.9,1,0,0,0
Put Your Head on My Shoulder,2019,7.0,7.9,1,0,0,0
Murder Mountain,2018,16.0,6.9,1,0,0,0
Hoarders,2009,7.0,6.4,1,1,0,0
Luna Nera,2020,18.0,5.5,1,0,0,0
Nobody's Looking,2019,18.0,7.9,1,0,0,0
Highway Thru Hell,2012,7.0,8.1,1,0,0,0
"The Long, Long Holiday",2015,7.0,8.9,1,0,0,0
Ben 10,2016,7.0,2.5,1,0,0,0
Sym-Bionic Titan,2010,7.0,8.1,1,0,0,0
Trigger Warning with Killer Mike,2019,16.0,6.8,1,0,0,0
The Worst Witch,2017,7.0,7.3,1,0,0,0
Pee-wee's Playhouse,1986,7.0,8.0,1,0,0,0
La Doña,2016,16.0,7.5,1,0,0,0
Mobile Suit Gundam: Iron-Blooded Orphans,2015,18.0,7.9,1,0,0,0
Final Fantasy XIV: Dad of Light,2017,7.0,7.2,1,0,0,0
Champions,2018,7.0,6.0,1,1,0,0
EastSiders,2012,18.0,6.8,1,0,0,0
Black,2017,16.0,8.0,1,0,0,0
Busted!,2018,16.0,7.5,1,0,0,0
Vampires,2020,18.0,5.4,1,0,0,0
My Babysitter's a Vampire,2011,7.0,7.0,1,0,0,0
Queer Eye: We're in Japan!,2019,16.0,8.3,1,0,0,0
Super Why!,2007,0.0,6.1,1,0,0,0
Dope,2017,16.0,7.3,1,0,0,0
American Masters,1986,7.0,8.0,1,0,0,0
Highway to Heaven,1984,7.0,6.7,1,0,1,0
The Sixties,2014,7.0,8.5,1,0,0,0
High Score Girl,2018,7.0,8.0,1,0,0,0
Louis Theroux's Weird Weekends,1998,16.0,8.5,1,0,0,0
When Heroes Fly,2018,7.0,7.3,1,0,0,0
Haters Back Off,2016,7.0,6.0,1,0,0,0
Always a Witch,2019,16.0,6.3,1,0,0,0
BUNK'D,2015,0.0,5.4,1,0,0,0
A Very Secret Service,2015,7.0,7.8,1,0,0,0
March Comes in Like a Lion,2016,7.0,8.4,1,0,0,0
The Bonfire of Destiny,2019,16.0,7.7,1,0,0,0
No Good Nick,2019,7.0,5.8,1,0,0,0
The Mind of a Chef,2012,7.0,8.0,1,0,0,0
The Chase,2013,0.0,7.4,1,0,0,0
Cooked,2016,7.0,8.1,1,0,0,0
Wet Hot American Summer: 10 Years Later,2017,18.0,6.9,1,0,0,0
Sword Art Online Alternative: Gun Gale Online,2018,16.0,6.8,1,1,0,0
Family Reunion,2019,7.0,6.3,1,0,0,0
Land Girls,2009,16.0,7.0,1,0,0,0
Degrassi: Next Class,2016,7.0,6.9,1,0,0,0
Shadow of Truth,2016,16.0,8.1,1,0,0,0
Kiss Me First,2018,18.0,6.3,1,0,0,0
Hellevator,2015,18.0,6.0,1,1,0,0
Northern Rescue,2019,16.0,7.1,1,0,0,0
God Eater,2015,16.0,7.0,1,0,0,0
QB1: Beyond the Lights,2017,16.0,7.8,1,0,0,0
Cuckoo,2012,16.0,7.3,1,0,0,0
Accidentally In Love,2018,7.0,7.6,1,0,0,0
Jack Whitehall: Travels with My Father,2017,18.0,7.7,1,0,0,0
Luis Miguel: The Series,2018,18.0,8.1,1,0,0,0
I Am a Killer,2018,18.0,7.5,1,0,0,0
Tunnel,2017,16.0,8.3,1,0,0,0
Pine Gap,2018,18.0,7.2,1,0,0,0
Escape to the Country,2002,0.0,7.1,1,0,0,0
Gargantia on the Verdurous Planet,2013,16.0,7.4,1,0,0,0
Avlu,2018,18.0,7.3,1,0,0,0
The Honeymoon Stand Up Special,2018,16.0,6.8,1,0,0,0
Case,2015,16.0,7.2,1,0,0,0
Bonus Family,2017,7.0,7.7,1,0,0,0
Braxton Family Values,2011,16.0,5.9,1,0,0,0
Comedy Bang! Bang!,2012,16.0,7.5,1,0,0,0
Free Rein,2017,0.0,7.3,1,0,0,0
Masha and the Bear,2009,0.0,7.6,1,0,0,0
Argos Comunicación,2017,18.0,7.2,1,0,0,0
Special Agent Oso,2009,0.0,5.1,1,0,0,0
Street Food,2019,0.0,8.2,1,0,0,0
All Hail King Julien,2014,7.0,7.2,1,0,0,0
"Acero, Woman of Steel",2014,16.0,7.2,1,1,0,0
Untold Stories of the ER,2004,16.0,7.5,1,0,0,0
Valor,2017,16.0,5.9,1,0,0,0
Stay Here,2018,7.0,7.6,1,0,0,0
Monty Python: Almost the Truth (The Lawyer's Cut),2009,7.0,8.1,1,0,0,0
Girlfriends' Guide to Divorce,2014,16.0,6.9,1,0,0,0
The I-Land,2019,18.0,4.5,1,0,0,0
Jack Taylor,2010,18.0,7.6,1,0,0,0
The Disappearance of Madeleine McCann,2019,16.0,6.6,1,0,0,0
Extracurricular,2020,18.0,6.1,1,0,0,0
PJ Masks,2015,0.0,5.6,1,0,0,1
The K2,2016,16.0,7.8,1,0,0,0
Christiane Amanpour: Sex & Love Around the World,2018,18.0,7.4,1,0,0,0
Neo Yokio,2017,18.0,5.8,1,0,0,0
Ultraviolet,2017,18.0,7.0,1,1,0,0
The Boulet Brothers' Dragula,2016,18.0,7.7,1,0,0,0
Cathedral of the Sea,2018,16.0,7.5,1,0,0,0
The Cartel,2008,16.0,8.2,1,0,0,0
Mr. Young,2011,0.0,6.1,1,0,0,0
Chef's Table: France,2016,16.0,8.3,1,0,0,0
Monarca,2019,18.0,8.0,1,0,0,0
Medal of Honor,2018,16.0,8.4,1,0,0,0
Little Witch Academia (TV),2017,16.0,7.9,1,0,0,0
Once Upon a Time in Lingjian Mountain,2019,0.0,7.7,1,0,0,0
Cedar Cove,2013,7.0,6.8,1,0,0,0
Brews Brothers,2020,18.0,4.8,1,0,0,0
Criminal: France,2019,7.0,7.2,1,0,0,0
Kath & Kim,2002,7.0,8.2,1,0,0,0
Danger Mouse,1981,7.0,7.4,1,0,0,0
James Acaster: Repertoire,2018,18.0,8.4,1,0,0,0
Reckoning,2019,18.0,6.4,1,0,0,0
Hangar 1: The UFO Files,2015,7.0,7.4,1,1,1,0
Kakegurui,2017,16.0,7.2,1,0,0,0
Marlon,2017,7.0,7.0,1,1,0,0
7SEEDS,2019,18.0,6.3,1,0,0,0
The Super Mario Bros. Super Show!,1989,7.0,6.2,1,0,0,0
Crematorium,2011,18.0,7.7,1,0,0,0
The Octonauts,2010,0.0,7.4,1,0,0,0
Magi: Adventure of Sinbad,2016,16.0,7.6,1,0,0,0
Troy: Fall of a City,2018,18.0,3.8,1,0,0,0
The 2000s,2018,7.0,8.0,1,0,0,0
The Last Kids on Earth,2019,7.0,7.5,1,0,0,0
We Are the Wave,2019,18.0,6.1,1,0,0,0
Somewhere Between,2017,16.0,6.2,1,0,0,0
Zumbo's Just Desserts,2016,7.0,6.9,1,0,0,0
Marseille,2016,18.0,6.8,1,0,0,0
The Dick Van Dyke Show,1961,0.0,6.8,1,1,0,0
Borderliner,2017,18.0,6.8,1,0,0,0
Ultimate Beastmaster,2017,7.0,7.3,1,0,0,0
Diablero,2018,16.0,6.6,1,0,0,0
Alaska State Troopers,2009,16.0,7.5,1,0,0,0
Stories by Rabindranath Tagore,2015,16.0,8.9,1,0,0,0
Super Wings!,2015,0.0,6.2,1,0,1,0
Incomplete Life,2014,16.0,8.6,1,0,0,0
"Breakfast, Lunch & Dinner",2019,18.0,6.7,1,0,0,0
Ice Fantasy,2016,16.0,7.1,1,0,0,0
The Supervet,2014,7.0,8.7,1,0,0,0
The Seventies,2015,7.0,8.3,1,0,0,0
The InBESTigators,2019,0.0,7.7,1,0,0,0
El Chema,2016,16.0,7.0,1,0,0,0
Pocoyo,2005,0.0,7.5,1,1,1,0
The Adventures of Puss in Boots,2015,7.0,6.7,1,0,0,0
Skin Wars,2014,16.0,7.1,1,1,0,0
Dueños del Paraíso,2015,16.0,7.1,1,1,0,0
Unstoppable,2020,18.0,7.2,1,0,0,0
The Hockey Girls,2019,16.0,7.0,1,0,0,0
Record of Grancrest War,2018,18.0,7.2,1,0,0,0
Ares,2020,18.0,5.6,1,0,0,0
Barbie: Life in the Dreamhouse,2012,0.0,7.3,1,0,0,0
Cheese in the Trap,2016,16.0,7.4,1,0,0,0
The Deep,2016,7.0,7.9,1,0,0,0
Juana Inés,2016,16.0,7.6,1,0,0,0
Killer Kids,2011,16.0,7.0,1,0,0,0
La querida del Centauro,2016,16.0,8.1,1,0,0,0
Anjaan: Special Crimes Unit,2018,16.0,7.0,1,0,0,0
Best Friends Whenever,2015,0.0,5.5,1,0,0,1
Osmosis,2019,16.0,5.9,1,0,0,0
Hormones,2013,16.0,8.0,1,0,0,0
Love Rain,2012,7.0,7.7,1,0,0,0
Switched,2018,16.0,7.2,1,0,0,0
Creeped Out,2017,7.0,6.6,1,0,0,0
Immortals,2018,7.0,5.5,1,0,0,0
Yo-Kai Watch,2014,0.0,5.9,1,0,0,0
Oggy and the Cockroaches,1998,0.0,7.3,1,0,0,0
Unit 42,2017,7.0,7.0,1,0,0,0
Limmy's Show,2010,0.0,8.3,1,0,0,0
Nazi Megastructures,2013,0.0,8.0,1,1,0,0
Omniscient,2020,18.0,6.3,1,0,0,0
Green Frontier,2019,18.0,7.4,1,0,0,0
Adventures of Sonic the Hedgehog,1993,0.0,6.2,1,0,0,0
Inside the World's Toughest Prisons,2016,18.0,6.8,1,0,0,0
El Chavo: The Animated Series,2006,0.0,5.4,1,0,0,0
Rishta.com,2010,0.0,8.5,1,0,0,0
The Sparticle Mystery,2011,7.0,7.0,1,0,0,0
Broken,2019,16.0,6.8,1,0,0,0
AMO,2018,18.0,6.4,1,0,0,0
Instant Hotel,2018,7.0,7.3,1,0,0,0
The Queen of Flow,2018,18.0,7.9,1,0,0,0
David Attenborough's Natural Curiosities,2013,7.0,8.5,1,0,0,0
Ever After High,2013,0.0,8.0,1,0,0,0
Bad Guys,2014,18.0,7.9,1,0,0,0
Rapture,2018,18.0,7.1,1,0,0,0
Drug Lords,2018,18.0,6.8,1,0,0,0
Transformers: Rescue Bots,2012,7.0,6.5,1,0,0,0
A Cook's Tour,2002,16.0,8.1,1,0,0,0
The Stranded,2019,18.0,6.3,1,0,0,0
Gunslinger Girl,2003,16.0,7.4,1,0,0,0
Yu-Gi-Oh! Arc-V,2014,7.0,6.2,1,1,1,0
Crime Diaries: The Candidate,2019,18.0,7.6,1,0,0,0
Servant of the People,2015,7.0,6.9,1,0,0,0
America's Book of Secrets,2012,7.0,7.0,1,1,1,0
Ben and Holly's Little Kingdom,2009,0.0,7.3,1,0,0,0
Aussie Gold Hunters,2016,7.0,7.1,1,0,0,0
The Road to Calvary,2017,7.0,7.7,1,0,0,0
Sensitive Skin,2014,16.0,7.2,1,0,0,0
Hache,2019,18.0,6.3,1,0,0,0
Four Seasons in Havana,2016,18.0,7.6,1,0,0,0
Cooper Barrett's Guide to Surviving Life,2016,7.0,6.3,1,0,0,0
Brotherhood,2019,16.0,7.6,1,0,0,0
The Kirlian Frequency,2019,7.0,7.6,1,0,0,0
Silvana Sin Lana,2016,16.0,7.5,1,0,0,0
The Mr. Peabody & Sherman Show,2015,7.0,5.6,1,0,0,0
Trolls: The Beat Goes On!,2018,0.0,5.7,1,0,0,0
Fated to Love You,2008,7.0,7.4,1,1,0,0
Monty Don's French Gardens,2013,0.0,8.0,1,0,0,0
The Bachelor,2002,16.0,3.2,1,1,0,0
Autumn's Concerto,2009,16.0,8.0,1,0,0,0
Genius of the Modern World,2016,0.0,7.6,1,0,0,0
Huge in France,2019,16.0,6.8,1,0,0,0
Children of the Whales,2017,16.0,7.1,1,0,0,0
Stephen Fry in America,2008,7.0,7.9,1,0,0,0
El Reemplazante,2012,16.0,8.4,1,0,0,0
Secrets at the Hotel,2016,7.0,6.7,1,0,0,0
Transformers: Cyberverse,2018,7.0,6.8,1,0,0,0
Ninja Hattori,1981,0.0,6.9,1,0,0,0
Rabbids Invasion,2013,7.0,5.0,1,1,0,0
Griselda Blanco: The Black Widow,2014,16.0,7.1,1,0,0,0
Killer Ratings,2019,18.0,8.0,1,0,0,0
Puffin Rock,2015,0.0,8.7,1,0,0,0
Keizersvrouwen,2019,18.0,6.0,1,0,0,0
Ad Vitam,2018,7.0,6.4,1,0,0,0
Residue,2015,16.0,6.1,1,0,0,0
Live,2018,16.0,8.4,1,0,0,0
Fate/Apocrypha,2017,18.0,6.5,1,0,0,0
Total Drama Presents: The Ridonculous Race,2015,7.0,6.6,1,0,0,0
Doomsday Preppers,2011,7.0,6.1,1,0,0,0
Lunatics,2019,18.0,6.6,1,0,0,0
Criminal: Spain,2019,7.0,6.9,1,0,0,0
Can't Pay? We'll Take It Away!,2014,18.0,7.2,1,0,0,0
Embarrassing Bodies,2007,18.0,7.0,1,0,0,0
Paranormal Survivor,2015,7.0,6.3,1,0,0,0
The Ghost Bride,2020,18.0,5.8,1,0,0,0
Brainchild,2018,7.0,8.0,1,0,0,0
FIGHTWORLD,2018,18.0,7.7,1,0,0,0
The Garfield Show,2009,0.0,5.3,1,0,1,0
Bumping Mics with Jeff Ross & Dave Attell,2018,18.0,7.7,1,0,0,0
A Thousand Days' Promise,2011,16.0,8.1,1,0,0,0
Spirit: Riding Free,2017,7.0,6.4,1,0,0,0
Murder Maps,2015,16.0,7.5,1,0,0,0
Wizards vs Aliens,2012,7.0,6.5,1,0,0,0
Shot in the Dark,2017,18.0,8.3,1,0,0,0
Here to Heart,2018,7.0,8.0,1,0,0,0
Littlest Pet Shop,2012,0.0,6.1,1,0,0,0
21 Sarfarosh - Saragarhi 1897,2018,16.0,8.1,1,0,0,0
Hidden Worlds,2018,0.0,6.9,1,0,0,0
Secrets of Great British Castles,2015,7.0,7.8,1,0,0,0
The Wiggles,1998,0.0,5.7,1,0,0,0
Grand Designs Australia,2010,0.0,7.2,1,0,0,0
Max Steel,2013,7.0,6.7,1,0,0,0
Louis Theroux: Miami Mega-Jail,2011,18.0,7.6,1,0,0,0
The Neighbor,2019,18.0,6.5,1,0,0,0
Mortel,2019,18.0,6.4,1,0,0,0
Let's Eat,2013,16.0,7.7,1,0,0,0
A.I.C.O. -Incarnation-,2018,18.0,6.4,1,0,0,0
Girls Incarcerated,2018,18.0,7.3,1,0,0,0
Cannabis,2016,16.0,6.9,1,0,0,0
Bill Nye Saves the World,2017,7.0,3.6,1,0,0,0
Scare Tactics,2003,16.0,6.7,1,0,0,0
A User's Guide to Cheating Death,2017,16.0,7.6,1,0,0,0
The Day I Met El Chapo: The Kate del Castillo Story,2017,18.0,6.9,1,0,0,0
Chelsea,2016,18.0,6.1,1,0,0,0
Dinner for Five,2001,18.0,8.1,1,0,0,0
The Chosen One,2019,18.0,5.6,1,0,0,0
Trailer Park Boys: The Animated Series,2019,18.0,7.5,1,0,0,0
The Royal House of Windsor,2017,16.0,7.4,1,0,0,0
Playing with Fire,2019,18.0,6.1,1,0,0,0
SWORD GAI: The Animation,2018,18.0,5.9,1,0,0,0
My Life,2014,0.0,7.9,1,0,0,0
Skylanders Academy,2016,7.0,6.5,1,0,0,0
Powder,1995,13.0,6.6,1,0,0,0
Dancing Queen,2018,7.0,6.9,1,0,0,0
Sid the Science Kid,2008,0.0,5.4,1,0,0,0
Cagaster of an Insect Cage,2020,18.0,6.1,1,0,0,0
Absurd Planet,2020,7.0,3.8,1,0,0,0
Last Chance to See,2009,7.0,8.3,1,0,0,0
Behind Enemy Lines,2001,13.0,6.4,1,0,0,0
Chuggington,2008,0.0,5.9,1,1,0,0
Triad Princess,2019,18.0,7.0,1,0,0,0
Bitter Daisies,2018,18.0,7.2,1,0,0,0
Old Money,2015,7.0,7.6,1,0,0,0
Trailer Park Boys: Out of the Park: Europe,2016,18.0,6.6,1,0,0,0
1994,2019,18.0,8.0,1,0,0,0
Shadow,2019,7.0,6.5,1,0,0,0
Jailbirds,2019,18.0,7.2,1,0,0,0
Raiders of the Lost Art,2016,0.0,8.1,1,0,0,0
Borderline,2016,16.0,7.1,1,0,0,0
Geronimo Stilton,2009,0.0,6.7,1,0,1,0
Kikoriki,2004,0.0,7.4,1,0,0,0
Meet the Drug Lords: Inside the Real Narcos,2018,7.0,7.6,1,0,0,0
Atelier,2015,16.0,7.4,1,0,0,0
Enemigo íntimo,2018,16.0,7.7,1,0,0,0
Hardy Bucks,2010,7.0,8.3,1,0,0,0
The Piano Forest,2018,7.0,7.1,1,0,0,0
Little Lunch,2014,0.0,8.2,1,0,0,0
Sweet Magnolias,2020,16.0,6.9,1,0,0,0
The Break with Michelle Wolf,2018,18.0,5.2,1,0,0,0
White Rabbit Project,2016,7.0,6.9,1,0,0,0
Last,2015,16.0,7.5,1,0,0,0
Moving Art,2007,7.0,8.7,1,0,0,0
Lost & Found Music Studios,2015,0.0,6.7,1,0,0,0
Summertime,2020,18.0,6.7,1,0,0,0
Transformers: Robots In Disguise,2015,0.0,6.0,1,0,0,0
The Epic Tales of Captain Underpants,2018,7.0,6.8,1,0,0,0
Followers,2020,18.0,6.2,1,0,0,0
The Story of Maths,2008,0.0,8.0,1,0,0,0
Examination of Conscience,2019,18.0,8.0,1,0,0,0
Go! Go! Cory Carson,2020,0.0,8.1,1,0,0,0
Ghost-Seeing Detective Cheo-Yong,2014,16.0,7.3,1,0,0,0
I Hear You,2019,0.0,7.8,1,0,0,0
The Cat in the Hat Knows a Lot About That!,2010,0.0,6.5,1,0,1,0
Dinosaur King,2007,7.0,5.5,1,0,0,0
72 Dangerous Animals: Latin America,2017,16.0,6.8,1,0,0,0
Amazing Interiors,2018,0.0,6.7,1,0,0,0
Prank Encounters,2019,18.0,5.0,1,0,0,0
Dragon Pilot: Hisone and Masotan,2018,16.0,6.9,1,0,0,0
Mighty Little Bheem,2019,0.0,7.9,1,0,0,0
Apache: La vida de Carlos Tevez,2019,18.0,7.9,1,0,0,0
Flavorful Origins,2019,0.0,7.6,1,0,0,0
Take My Brother Away,2018,0.0,7.9,1,0,0,0
Coach Snoop,2016,0.0,6.8,1,0,0,0
Johnny Test,2005,0.0,4.9,1,0,0,0
Ask the Storybots,2016,0.0,8.1,1,0,0,0
Blown Away,2019,7.0,6.8,1,0,0,0
Wild Arabia,2013,0.0,8.0,1,0,0,0
Pac-Man and the Ghostly Adventures,2013,7.0,4.8,1,0,1,0
72 Dangerous Animals: Asia,2018,16.0,6.6,1,0,0,0
Danger Mouse,2015,0.0,7.1,1,0,0,0
The Comedy Lineup,2018,18.0,5.7,1,0,0,0
Monzón: A Knockout Blow,2019,18.0,8.0,1,0,0,0
The Beginning of Life: The Series,2016,0.0,7.6,1,0,0,0
Sintonia,2019,18.0,6.6,1,0,0,0
Holiday Secrets,2019,16.0,6.4,1,0,0,0
Kevin Hart: Don't F**k This Up,2019,18.0,6.5,1,0,0,0
Lost Song,2018,16.0,7.1,1,0,0,0
Yago,2016,7.0,7.2,1,0,0,0
The Great Interior Design Challenge,2014,7.0,7.3,1,0,0,0
Tientsin Mystic,2017,7.0,7.3,1,0,0,0
Super Drags,2018,18.0,5.6,1,0,0,0
Monkey Planet,2014,7.0,8.5,1,0,0,0
Monster Garage,2002,7.0,5.9,1,0,0,0
PopPixie,2011,0.0,5.6,1,0,0,0
Angry Birds Toons,2013,0.0,6.2,1,0,0,0
Nowhere Man,2019,18.0,5.4,1,0,0,0
Cheer Squad,2016,7.0,7.3,1,0,0,0
Motown Magic,2018,0.0,7.9,1,0,0,0
Pop Team Epic,2018,18.0,6.8,1,0,1,0
Mia and Me,2012,0.0,6.6,1,0,0,0
Oddbods,2015,7.0,6.3,1,1,1,0
VR Troopers,1994,7.0,5.7,1,0,0,0
Legend Quest,2017,7.0,7.5,1,0,0,0
Taco Chronicles,2019,7.0,8.5,1,0,0,0
The Big Family Cooking Showdown,2017,7.0,7.1,1,0,0,0
Archibald's Next Big Thing,2019,7.0,7.7,1,0,0,0
Minute to Win It,2010,7.0,5.1,1,0,0,0
Buddy Thunderstruck,2017,7.0,7.6,1,0,0,0
Bernard,2006,7.0,6.1,1,0,1,0
