Title,Year,Target Age >,IMDb,Netflix,Hulu,Prime Video,Disney+
GLOW,2017,18.0,8.0,1,0,0,0
Person of Interest,2011,16.0,8.4,1,0,0,0
13 Reasons Why,2017,18.0,7.8,1,0,0,0
Godless,2017,16.0,8.3,1,0,0,0
Locked Up,2015,16.0,8.3,1,0,0,0
Mushi-Shi,2005,16.0,8.5,1,1,1,0
Gossip Girl,2008,16.0,7.4,1,0,0,0
Unbreakable Kimmy Schmidt,2015,16.0,7.6,1,0,0,0
Lost in Space,2018,7.0,7.3,1,0,0,0
Scandal,2012,16.0,7.7,1,0,0,0
Hunter x Hunter,2011,16.0,8.9,1,1,0,0
One Day at a Time,2017,7.0,8.2,1,0,0,0
DC's Legends of Tomorrow,2016,16.0,6.8,1,0,0,0
Manhunt,2017,16.0,8.1,1,0,0,0
Naruto,2002,7.0,8.3,1,1,0,0
Charmed,1998,16.0,7.1,1,0,0,0
The Dragon Prince,2018,7.0,8.4,1,0,0,0
Locke & Key,2020,16.0,7.4,1,0,0,0
Alias Grace,2017,18.0,7.8,1,0,0,0
American Vandal,2017,16.0,8.2,1,0,0,0
Santa Clarita Diet,2017,18.0,7.8,1,0,0,0
Maniac,2018,16.0,7.8,1,0,0,0
Star Trek: Deep Space Nine,1993,7.0,7.9,1,1,1,0
The Dark Crystal: Age of Resistance,2019,7.0,8.5,1,0,0,0
Colony,2016,16.0,7.4,1,0,0,0
Wild Wild Country,2018,16.0,8.2,1,0,0,0
Rectify,2013,16.0,8.3,1,0,0,0
Pose,2018,16.0,8.6,1,0,0,0
Marvel's Luke Cage,2016,18.0,7.3,1,0,0,0
Hollywood,2020,18.0,7.7,1,0,0,0
Derry Girls,2018,16.0,8.4,1,0,0,0
Dark Matter,2015,18.0,7.5,1,0,0,0
On My Block,2018,16.0,8.1,1,0,0,0
Law & Order: Special Victims Unit,1999,16.0,8.0,1,1,1,0
Longmire,2012,16.0,8.3,1,0,0,0
The Tudors,2007,18.0,8.1,1,0,0,0
HAPPY!,2017,18.0,8.2,1,0,0,0
The Stranger,2020,16.0,7.3,1,0,0,0
Call the Midwife,2012,7.0,8.4,1,0,0,0
Into the Night,2020,18.0,7.2,1,0,0,0
Mystery Science Theater 3000,1988,7.0,8.5,1,1,0,0
Resurrection: Ertugrul,2014,16.0,7.7,1,0,0,0
The Inbetweeners,2008,18.0,8.4,1,0,0,0
Reign,2013,16.0,7.5,1,0,0,0
Extras,2005,16.0,8.3,1,0,1,0
The Kominsky Method,2018,18.0,8.2,1,0,0,0
The 4400,2004,7.0,7.3,1,0,0,0
The Borgias,2011,18.0,7.9,1,0,0,0
Marco Polo,2014,18.0,8.0,1,0,0,0
Queer Eye,2018,16.0,8.5,1,0,0,0
The Spy,2019,18.0,7.9,1,0,0,0
Love,2016,18.0,7.7,1,0,0,0
Designated Survivor,2016,7.0,7.5,1,0,0,0
Ripper Street,2012,18.0,8.1,1,0,0,0
Hell on Wheels,2011,16.0,8.3,1,0,0,0
The Fosters,2013,16.0,7.9,1,0,0,0
Hawaii Five-0,2010,16.0,7.3,1,0,0,0
Marvel's The Defenders,2017,18.0,7.3,1,0,0,0
Allo 'Allo!,1984,7.0,8.3,1,0,0,0
Supergirl,2015,7.0,6.3,1,0,0,0
Star Trek: Voyager,1995,7.0,7.8,1,1,1,0
Limitless,2015,16.0,7.7,1,0,0,0
Messiah,2020,18.0,7.7,1,0,0,0
The Shannara Chronicles,2016,16.0,7.2,1,0,0,0
Crash Landing on You,2019,16.0,8.8,1,0,0,0
Bleach,2004,18.0,8.1,1,1,0,0
Top Boy,2011,18.0,8.4,1,0,0,0
Jonathan Strange & Mr Norrell,2015,16.0,8.2,1,0,0,0
Haven,2010,16.0,7.5,1,0,0,0
Queen of the South,2016,16.0,7.9,1,0,0,0
Hart of Dixie,2011,7.0,7.7,1,0,0,0
Bloodline,2015,18.0,8.0,1,0,0,0
Middleditch & Schwartz,2020,18.0,8.7,1,0,0,0
Haikyu!!,2014,16.0,8.7,1,1,0,0
Dirty Money,2018,16.0,8.1,1,0,0,0
Don't F**k with Cats: Hunting an Internet Killer,2019,18.0,8.1,1,0,0,0
Babylon Berlin,2017,18.0,8.4,1,0,0,0
That '70s Show,1998,16.0,8.1,1,0,0,0
The Magicians,2015,16.0,7.6,1,0,0,0
Chef's Table,2015,0.0,8.6,1,0,0,0
TURN: Washington's Spies,2014,16.0,8.1,1,0,0,0
Crazy Ex-Girlfriend,2015,16.0,7.8,1,0,0,0
Soul Eater,2008,16.0,7.8,1,1,0,0
Lost Girl,2010,16.0,7.7,1,0,0,0
Wynonna Earp,2016,16.0,7.4,1,0,0,0
Merlin,2008,7.0,7.9,1,1,1,0
Galavant,2015,7.0,8.1,1,0,0,0
Travelers,2016,16.0,8.1,1,0,0,0
Hilda,2018,7.0,8.6,1,0,0,0
The Originals,2013,16.0,8.2,1,0,0,0
Episodes,2011,18.0,7.8,1,0,0,0
Absolutely Fabulous,1992,16.0,8.1,1,1,0,0
Living with Yourself,2019,18.0,7.2,1,0,0,0
Malcolm in the Middle,2000,7.0,8.0,1,1,0,0
F is for Family,2015,18.0,8.0,1,0,0,0
The Keepers,2017,16.0,8.1,1,0,0,0
Cheer,2020,16.0,8.2,1,0,0,0
Disenchantment,2018,16.0,7.2,1,0,0,0
Dead Set,2008,18.0,7.7,1,0,0,0
Ezel,2009,0.0,8.6,1,0,0,0
Nurse Jackie,2009,18.0,7.7,1,0,0,0
Case Closed,1996,16.0,8.4,1,1,0,0
Imposters,2017,16.0,7.8,1,0,0,0
Queer as Folk,1999,18.0,8.2,1,0,1,0
Heartland,2007,7.0,8.4,1,0,1,0
